_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
13,Recreation,Infrastructure,Belleville,YMCA Centre for Life in Belleville,Planning,Sep-26,"The new multi-purpose facility will include two pools, a gymnasium, an exercise studio, a conditioning centre with focus on youth and senior programing, and locker rooms with universal and family change rooms. Furthermore, the facility will house social and educational community programming and meeting areas, including spaces for those with physical and mental disabilities.","Once complete, the new YMCA Centre for Life will enable the YMCA of Central East Ontario and its partners to increase access to fitness, recreation, and community services for Belleville residents and those in the Quinte region. The facility will provide greater access to modern and affordable recreation and community services, while creating a welcoming and respectful space for all members of the community.",Hastings,East,123 Aylmer Street South,K9J3H8,,22492620,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000272/canada-and-ontario-partner-with-the-ymca-of-central-east-ontario-to-invest-over-224-million-in-the-ymca-centre-for-life-in-belleville,44.1606,-77.4032
14,Recreation,Infrastructure,Brampton,Performing Arts Theatre in Brampton,Planning,Mar-27,"The project will involve various accessibility upgrades, which include installing climb-assist railings in the upper balcony, replacing a portion of the current fixed seating with removable seating, upgrading and placing emergency alarms in the washrooms, and adding a wheelchair lift.Other work will include upgrading theatre lighting to LED technology, automating the current rigging system, and updating video infrastructure from analog to digital.","Once complete, the project will enhance the accessibility of The Rose for both audiences and artists, and increase operational efficiency by reducing the time and labour required to present events and programming.",Peel,Central,2 Wellington St W,L6Y4R2,,5613150,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61086/canada-and-ontario-invest-in-performing-arts-theatre-in,43.68715176,-79.76015451
15,Recreation,Infrastructure,Brampton,Chinguacousy Wellness Centre,Planning,2023,"Install new washrooms, change rooms, a sauna, locker amenities, and shower facilities, ", Improved accessibility and user experience.,Peel,Central,2 Wellington St W,L6Y4R2,,1430000,Yes,Yes,Yes,,,43.74913,-79.74267
16,Recreation,Infrastructure,Brampton,Youth Hub - South Fletchers,Planning,2023,Construction of  a space designated for youth in low-income communities. ,,Peel,Central,2 Wellington St W,L6Y4R2,,1412500,Yes,Yes,Yes,,,43.6527,-79.73595
17,Recreation,Infrastructure,Brantford,Boys and Girls Club of Brantford,Planning,2023,"Renovate and expand 30-year old kitchen, and upgrade lighting, plumbing, electrical, cabinets, counters, flooring, appliances, fixtures, etc.",Improved and enhanced facility.,Brant,Southwest,2 Edge Street,N3T6H1,,464236,Yes,Yes,Yes,,,43.12069,-80.27185
18,Recreation,Infrastructure,Brock,Sunderland Memorial Arena & Community Centre Renovation and Expansion Project – CCRIS,Planning,Jan-24,"The project will expand the Centre to include six new dressing rooms, a community room, and storage for the ice resurfacer. Other improvements include expanding the ice surface, updating the refrigeration system, reconfiguring spectator seating and renovating the lobby, auditorium and existing dressing rooms. The upgrades will improve the Centre’s accessibility and allow residents to stay fit and healthy for years to come.",,Durham,Central,1 Cameron Street/Rue East/Est,L0E1E0,,7480000,Yes,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000034/canada-and-ontario-invest-over-44-m-in-improved-culture-recreation-and-green-infrastructure-in-partnership-with-15-communities-across-ontario,44.264,-79.068
19,Recreation,Infrastructure,Brockton,Accessible Washroom & Equipment Storage for Soccer Recreational Facility,Planning,Dec-23,"The project will construct a building outfitted with washrooms, sports equipment storage and a future snack bar. The building will improve accessibility and the user experience for players and spectators.",,Bruce,Southwest,100 Scott Street/Rue,N0G2V0,,880080,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.140191,-81.13812
20,Recreation,Infrastructure,Burlington,Renewal of the Civic Square for Burlington Residents,Planning,Aug-25,"The work involves the replacement of the existing pavement and stairs with a new, fully accessible and barrier-free surface. The existing fountain will be replaced with a new water feature, and trees will be planted to provide a healthy canopy. Further, new seating will be installed, and the outdoor mechanical and electrical systems upgraded.","This investment will support the City of Burlington's efforts to make the Civic Square an accessible, safe and inclusive gathering and event space where festivals and community programming can be offered to all residents and visitors.",Halton,Central,426 Brant Street,L7R3Z6,,4962250,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61078/canada-and-ontario-invest-in-renewal-of-the-civic-square-for-burlington-residents,43.32568,-79.79836
21,Recreation,Infrastructure,Caledon,"Caledon Public Library Branch Renovation to Create a Maker, Media, and Innovation Lab",Planning,2023,"The project will refurbish an existing library to a new service model that includes a maker space, meeting and training rooms, a recording studio, and spaces for co-working and connecting. The improvements will help ensure that residents have access to connectivity and technologies to support learning, innovation and entrepreneurship.",,Peel,Central,6500 Old Church Road,L7C0H3,,304680,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61048/30-bundle-en,43.74373,-79.83351
22,Recreation,Infrastructure,Caledon,Mayfield Recreation Complex - Infrastructure Improvements,Planning,Oct-23,"The project will repair the aquatic facility's foundation, install controls on the pool heating system to improve energy efficiency, replace benches and hangers in the pool and arena, expand showers in change rooms, and replace the main lobby flooring. The project will extend the life of the facility, increase energy efficiency and improve the user experience.",,Peel,Central,6311 Old Church Road,L7C1J6,,507750,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,43.775059,-79.78377
23,Recreation,Infrastructure,Caledon,Rehabilitation of Caledon Trailway Bridges,Planning,Oct-23,"The project will rehabilitate four pedestrian bridges along the Caledon Trailway, and includes repairs to concrete abutment walls and replacement of timber frames, railings, and decking. The upgrades will improve the safety and accessibility of the trail.",,Peel,Central,6311 Old Church Road,L7C1J6,,600000,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,43.81218,-79.930896
24,Recreation,Infrastructure,Callander,Camp Tillicum Renewal Project,Complete,Jul-22,"The project will replace the aging recreational hall with a new multi-purpose accessible facility, update bathrooms, and remove safety hazards on the grounds. ",The improvements will allow Camp Tillicum to keep providing important recreational programs and services to children in the North Bay area.,Parry Sound,Northeast,15 ROSEDALE CRT,P1A3W1,,606250,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61239/canada-and-ontario-invest-in-improved-community-and-recreational-infrastructure-in-north-bay-callander-and-powassan,46.2061,-78.4896
25,Recreation,Infrastructure,Cambridge,Improvements to Community Infrastructure,Planning,Nov-26,"Renovations to the Chaplin Family YMCA will replace heating, ventilation and lighting systems as well as the exterior stucco to make the facility more energy and cost efficient.",,Waterloo,Southwest,250 Hespeler Rd,N1R3H3,,1015080,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000049/residents-of-cambridge-to-benefit-from-improvements-to-community-infrastructure,43.38598,-80.32179
26,Recreation,Infrastructure,Cavan-Monaghan,Rehabilitation of the historically designated Old Millbrook School – CCRIS,Planning,Jul-24,"Project work will include replacing the roof and windows with energy efficient alternatives; repairing damaged walls, floors, and doors; installing a new ventilation and air-exchanger system; and installing battery-operated accessible doors. These improvements will provide year-round access to indoor space for various social groups and services, while improving access to quality community, cultural and recreational infrastructure.",,Peterborough,East,988 County,L0A1G0,,511750,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000034/canada-and-ontario-invest-over-44-m-in-improved-culture-recreation-and-green-infrastructure-in-partnership-with-15-communities-across-ontario,44.15042,-78.443989
27,Recreation,Infrastructure,Cavan-Monaghan,Renovation of the Millbrook Arena to a multipurpose community hub – CCRIS,Planning,Jul-24,"Project work consists of the rehabilitation of existing steel girders, beams, walls and floors; converting the concession stand into accessible washrooms; and replacing the existing roof with an energy efficient alternative. An air ventilation system will also be installed to improve air quality. Once complete this facility will provide a space for year-round sports programming and community social activities.",,Peterborough,East,988 County,L0A1G0,,966000,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000034/canada-and-ontario-invest-over-44-m-in-improved-culture-recreation-and-green-infrastructure-in-partnership-with-15-communities-across-ontario,44.150444,-78.447088
28,Recreation,Infrastructure,Central Elgin,Eastwood Park Upgrades,Complete,Sep-22,"Upgrades will include a new accessible pathway system to connect four different streets with the park and provide access to the proposed amenities in the park. Further upgrades will include a new multi-use court, pickleball courts, green gym equipment, playground equipment and a large shade structure.",,Elgin,Southwest,450 Sunset Drive,N5R5V1,,715000,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,42.767124,-81.151599
29,Recreation,Infrastructure,Centre Wellington,Renovation and Rehabilitation of the Elora Community Centre with an Arena,Planning,Nov-23,"The project will rehabilitate, renovate and expand the Elora Community Centre to improve its accessibility, increase its longevity and expand the utility of the space for new recreation, leisure and culture programming all of which will both increase the number and range of clientele. Work includes placement of the arena floor, board and glass and refrigeration equipment, accessibility upgrades, installation of emergency generator and solar panels.",,Wellington,Southwest,1 Macdonald Square,N0B1S0,,4997397,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/60979/canada-and-ontario-invest-in-improved-community-and-recreation-infrastructure-in-elora-and-guelph,43.683233,-80.43598
30,Recreation,Infrastructure,Deseronto,Rehabilitation and Renovation of a Community Centre,Planning,2023,"Improvements to the Deseronto Community Centre include repairing the roof, HVAC system, and the north wall of the facility. Additionally, the project includes the creation of an outdoor sports pad for multi-use recreation, the addition of a barrier-free entrance, and renovations to the canteen and spectator seating to improve accessibility.",,Hastings,East,"331 Main Street,",K0K1X0,,673050,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/60961/canada-and-ontario-invest-in-more-accessible-recreation-and-transit-infrastructure-in-the-counties-o-2,44.191997,-77.059738
31,Recreation,Infrastructure,Dryden,Dryden Recreation Centre,Planning,Oct-23,"Add four, accessible change rooms; a new multi-purpose space with washrooms and an elevator; and upgrades to various mechanical components","Iiproved access to recreational activities and the ability to host events, extend the life of the building and reduce operating costs.",Kenora,Northwest,30 Van Horne Avenue/Autre,P8N2A7,,4915152,Yes,Yes,Yes,,,49.780516,-92.839022
32,Recreation,Infrastructure,Dryden,Dryden Go-Getter Senior Activity Centre,Planning,2022,"Build a 2,500 square foot addition to the building , full renovation and replacement of appliances in existing kitchen and change existing vestibule to an office.",The updates will provide seniors with a safer and more accessible space for activities.,Kenora,Northwest,84 St. Charles Street,P8N1L3,,1204690,Yes,Yes,Yes,,,49.780516,-92.839022
33,Recreation,Infrastructure,Dutton-Dunwich,Dutton Dunwich Community Pool Rehabilitation,Complete,Nov-21,"Rehabilitation of the pool includes cutting the existing deck into slabs and removing them, trenching the pool deck for new plumbing lines, backfilling the new lines with sand and gravel, pouring concrete deck, sawing concrete for stress cracking, increasing visibility from guard office to pool area by adding windows, and replacing the existing entrances as well as providing more access options.",,Elgin,Southwest,199 Currie Road,N0L1J0,,156982,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,42.662964,-81.505559
34,Recreation,Infrastructure,Dysart et al,Rotary Beach Park Rehabilitation – CCRIS,Planning,Mar-26,"Project work will improve overall park infrastructure, which includes repairing the surface of tennis, basketball, and pickle ball courts; improving the accessibility of pathways, docks, courts, and picnic areas; and rehabilitating the exterior of the storage building. Further improvements include installing a play structure, a rain garden, a bike rack, and creating an off-leash dog park. A tree study will also take place to ensure adequate management of shade, soil water retention, and erosion control. A wi-fi network will also be established.","These improvements will provide an accessible, modern, and safe recreation area for residents and visitors, while supporting various community, cultural and sporting events.",Haliburton,East,P.O. Box 389,K0M1S0,,300000,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000034/canada-and-ontario-invest-over-44-m-in-improved-culture-recreation-and-green-infrastructure-in-partnership-with-15-communities-across-ontario,45.2396,-78.4264
35,Recreation,Infrastructure,Ear Falls,Ear Falls Recreational Centre,Planning,Jan-24,"Accessibility retrofits, including larger stalls in the washrooms and height-appropriate and accessible fixtures as well as the addition of a chair lift. ",The upgrades will better accommodate visitors with mobility issues.,Kenora,Northwest,2 Willow Crescent,P0V1T0,,231000,Yes,Yes,Yes,,,50.640397,-93.233159
36,Recreation,Infrastructure,East Ferris,Rehabilitate and expand Corbeil Park Recreation Hub,Planning,2022,"The project work includes improvements to the park's soccer field; addition of an overhead cover with lighting for the outdoor rink; renovation of the existing tennis court and the construction of another; lighting and signage for the parking lot; and replacement of playground equipment with new accessible equipment. The project will enable the Municipality of East Ferris to improve access to recreational opportunities by providing a larger, safer, and more accessible facility.",,Nipissing,Northeast,390  94 HWY,P0H1K0,,1453055,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61188/canada-and-ontario-invest-in-improved-recreational-infrastructure-for-residents-of-east-ferris,46.225,-79.2823
37,Recreation,Infrastructure,Enniskillen,Replacement of Krall Park Washroom and Pavilion – CCRIS,Planning,Nov-23,"The project will replace the washrooms and pavilion, install backstop netting and cement pads in dug outs, and construct a new septic system and an accessible walkway from the parking lot to pavilion. The upgrades will improve access to and the quality of community and recreational infrastructure.",,Lambton,Southwest,4465 Rokeby Line,N0N1R0,,303875,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000034/canada-and-ontario-invest-over-44-m-in-improved-culture-recreation-and-green-infrastructure-in-partnership-with-15-communities-across-ontario,42.83114,-82.12465
38,Recreation,Infrastructure,Erin,Erin Community Centre Rehabilitation and Renovation,Planning,Aug-23,"Installation of a fixed emergency generator, health and safety upgrades to the electrical, HVAC and refrigeration systems, roof structure replacement, and a new alarm system, and accessibility improvements to the elevator, washroom, and signage.",,Wellington,Southwest,5684 Trafalgar Road Road,N0B1Z0,,2640000,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,43.778481,-80.068563
39,Recreation,Infrastructure,Fort Frances,Fort Frances Memorial Sports Centre.,Planning,Dec-24,"The renovated facility will feature an updated pool, new squash court floors, and new flooring in the auditorium entrance. In addition, the Zamboni and furnace will be replaced, and upgrades will be made to the security system.",Enhanced quality and user experience of recreational infrastructure in Fort Frances ,Rainy River,Northwest,320 Portage Avenue,P9A3P9,,5251800,Yes,Yes,Yes,,,48.61117,-93.381679
40,Recreation,Infrastructure,French River,Alban Community Centre,Planning,Mar-24,"Install a generator and update the kitchen with new appliances;  purchase new audio/visual equipment; replace the roof and boiler system, etc. facility. ","Allow more residents and vulnerable populations to enjoy the Alban Community Centre for cultural, ceremonial, and active living events.",Sudbury,Northeast,Suite 1 44 St. Christophe Street/Rue,P0M2N0,,1096800,Yes,Yes,Yes,,,46.102258,-80.613509
41,Recreation,Infrastructure,Frontenac Islands,Upgrades to Patrick Norris Community Park,Planning,May-23,"Patrick Norris Community Park upgrades will increase the quality of life for island residents and visitors by renovating the grounds into a multi-use community hub. The renovations will include installing an accessible washroom, constructing multi-use tennis courts, and improving playground equipment by installing a safety base underneath. Constructing a shelter/pavilion for picnic tables and music/cultural events, installing an electronic scoreboard for the baseball field, and upgrading the park fencing will help complete the project.",,Frontenac,East,1191 Road 96 Road,K0H2Y0,,295900,Yes,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000261/canada-and-ontario-invest-to-improve-recreational-facilities-in-the-county-of-frontenac,44.249756,-76.29593
42,Recreation,Infrastructure,Georgian Bluffs,Kemble Community Center Accessibility and Energy Efficiency Upgrades,Planning,Dec-23,"The project will upgrade the accessibility of entrances, washrooms and the parking area, and install a new steel roof, new flooring, and a heat pump HVAC system. The insulation, electrical and fire suppression systems will also be upgraded. The changes will improve access to recreational and social services, and increase energy efficiency.",,Grey,Southwest,177964  GREY ROAD 18,N4K5N5,,1695000,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.720736,-80.930658
43,Recreation,Infrastructure,Georgina,Completing the Renovations to the Barn Area at Clearwater Farm – CCRIS,Planning,Dec-23,"The project will rehabilitate a barn, construct a new play space, install additional utilities and lighting, improve accessibility (elevator, washrooms, pathways), and expand the parking lot. These improvements will create a recreational and cultural community hub which residents and visitors can access year-round.",,York,Central,481 Lake Drive East,L0E1S0,,4999996,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000034/canada-and-ontario-invest-over-44-m-in-improved-culture-recreation-and-green-infrastructure-in-partnership-with-15-communities-across-ontario,44.316757,-79.413659
44,Recreation,Infrastructure,Grand Valley,Updating the Grand Valley and District Community Centre,Planning,Sep-23,"The project will install a new floor in the arena which will include new dasher boards, concrete work, refrigeration lines, and add six change rooms. The changes will improve the quality and functionality of the facility, and help meet the community's growing recreational needs.",,Dufferin,Central,5 MAIN ST N,L9W5S6,,2868750,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,43.901984,-80.315996
45,Recreation,Infrastructure,Greater Sudbury,Atikameksheng Anishnawbek Community Centre,Planning,2023,"Refurbish the facility's kitchen, gym and washrooms with energy-efficient equipment, appliances, and material.",Reduced operation and maintenance costs and extended life of the community centre.,Sudbury,Northeast,25 Reserve Road,P0M2M0,,269704,Yes,Yes,Yes,,,46.398,-81.1789
46,Recreation,Infrastructure,Greater Sudbury,Greater Sudbury Court Revitalization ,Planning,Mar-27,"Revitalization of 28 outdoor basketball and tennis courts across the city. Improvements will include asphalt resurfacing, line painting, new fencing, the installation of new sports equipment such as nets, and important accessibility upgrades.",Provide the residents of Sudbury with improved access to outdoor recreational facilities,Sudbury,Northeast,200 Brady Street,P3A5P3,,4380000,Yes,Yes,Yes,,,46.490002,-81.13142
47,Recreation,Infrastructure,Guelph,Expanding and renovating accessible community space at the YMCA-YWCA of Guelph.,Planning,2023,"The project involves a three storey addition to the YMCA of Guelph to provide youth recreational space and an expansion of the universal change room to enhance access to the facility for those with physical disabilities and families with young children. The expansion will add a footprint of 2,000 square feet to the facility resulting in 6,000 square feet of new space.",,Wellington,Southwest,130 Woodland Glen Dr,N1G4M3,,2965848,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/60979/canada-and-ontario-invest-in-improved-community-and-recreation-infrastructure-in-elora-and-guelph,43.5067,-80.237
48,Recreation,Infrastructure,Guelph,Rehabilitation of a century church building and 3-storey rear addition Community Centre,Planning,2023,The rehabilitation of the 100-year-old church building and the construction of a three-storey community centre will allow HOPE House to expand its community services and operations. The work includes upgrades to the building's masonry and rehabilitating the flat roof.,,Wellington,Southwest,10 CORK ST E,N1H2W8,,550390,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/60979/canada-and-ontario-invest-in-improved-community-and-recreation-infrastructure-in-elora-and-guelph,43.544695,-80.250923
49,Recreation,Infrastructure,Haliburton County,Upgrading of the Haliburton County Rail Trail Corridor – CCRIS,Planning,2023,"The project work includes improving 30 kilometers of trail with granular overlay; installing 15 benches, 500 meters of barrier, and informational signage to highlight trail history, the natural environment, and trail accessibility. This project will provide an improved recreational experience for users, while reducing annual maintenance costs.",,Haliburton,East,11 Newcastle,K0M2K0,,268125,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000034/canada-and-ontario-invest-over-44-m-in-improved-culture-recreation-and-green-infrastructure-in-partnership-with-15-communities-across-ontario,45.0427,-78.5208
50,Recreation,Infrastructure,Hamilton,Eva Rothwell Gymnasium Renovations,Complete,Sep-22,"The project will renovate the gymnasium to include updated surfacing with multi-sport court lines, new adjustable basketball nets, and improvements to safety features including foam padding to areas under the net and stage area to reduce the risk of injury during activities. These upgrades will improve the quality of physical literacy programming, the safety of the gymnasium floor, and reduce barriers for persons with disabilities.",,Hamilton,Central,460 WENTWORTH ST N,L8L5W8,,67039,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000026/canada-and-ontario-invest-to-improve-recreational-facilities-in-hamilton,43.265089,-79.843012
51,Recreation,Infrastructure,Hamilton,Central Memorial Recreation Centre Elevator Modernization and Replacement,Planning,Jun-23,"The project will replace the elevator at the Central Memorial Recreation Centre in Hamilton. Various components of the elevator will be replaced including wiring and control systems, the car and cabin interior, fixtures, door equipment, hall button panels, and the valve, pump and tank.",,Hamilton,Central,71 Main Street West,L8P4Y5,,400000,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000026/canada-and-ontario-invest-to-improve-recreational-facilities-in-hamilton,43.249326,-79.85932
52,Recreation,Infrastructure,Hamilton,Hamilton Amateur Athletic Association Park Redevelopment,Planning,Mar-25,"The project will create barrier-free accessible pathways throughout the park, improve drainage for better grass growth, and upgrade the lighting to LED. The playground and spray pad amenities will also be upgraded to replace assets that have reached end-of-life.",,Hamilton,Central,71 Main Street West,L8P4Y5,,3581997,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000026/canada-and-ontario-invest-to-improve-recreational-facilities-in-hamilton,43.253549,-79.883713
53,Recreation,Infrastructure,Hamilton,Recreation Facility Roof Replacements and Retrofits,Planning,Mar-24,"The project will repair and replace roofs at the Mohawk Ice Centre, Benneto Community Centre, Dundas Community Pool, and Chedoke Golf Club. These improvements will extend the life of these recreational facilities for years to come.",,Hamilton,Central,71 Main Street West,L8P4Y5,,4400000,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000026/canada-and-ontario-invest-to-improve-recreational-facilities-in-hamilton,43.270204,-79.861251
54,Recreation,Infrastructure,Hamilton,Improvement and Repairs to the Royal Botanical Gardens in Burlington,Planning,Nov-24,"Project work will include reconstructing a boathouse, a viewing platform and boardwalk; repairing nature trails and garden paths; and installing an entry gate for the Hendrie Valley Trails. Improvements also include enlarging the Rock Trail parking lot and making it more accessible, and updating wayfinding signage and audio units to adhere to the Accessibility for Ontarians with Disabilities Act. These improvements and upgrades will create a more safe and accessible space, while also providing a more enjoyable visitor experience.",,Hamilton,Central,680 Plains Road West,L7T4H4,,2270626,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000136/canada-and-ontario-invest-22m-in-improvement-and-repairs-to-the-royal-botanical-gardens-in-burlington,43.288484,-79.891297
